ActorCountryCode,MonthYear,EventRootCode,EventCount,AvgGoldScore,AvgTone
ERI,199009,04,3,2.7999999999999994,2.05915757246556
ERI,199009,05,2,3.4,6.7675992537097347
ERI,199009,11,1,-2.0,5.86648685097775
ERI,199009,13,1,-4.4,4.16164053075995
ERI,199009,18,1,-10.0,2.94117647058824
ERI,199010,03,1,4.0,5.77181208053691
ERI,199010,04,8,6.3625,2.8224875694182376
ERI,199010,07,3,7.4000000000000012,7.0981554677206837
ERI,199010,14,2,-7.5,1.6260162601626
ERI,199010,19,6,-10.0,1.6114238065457567
ERI,199011,01,6,-0.20000000000000004,4.4020202924864593
ERI,199011,02,3,4.0,6.2753169100640109
ERI,199011,04,12,6.1499999999999995,5.0197894211476042
ERI,199011,06,3,6.0,2.82646801051709
ERI,199011,07,3,7.4000000000000012,5.2952216963876833
ERI,199011,08,1,10.0,3.57142857142857
ERI,199011,12,2,-4.0,4.3557168784029
ERI,199011,13,8,-7.0,4.5501212129240756
ERI,199011,15,2,-7.2,3.8343558282208603
ERI,199011,17,7,-5.0,4.9614640768514562
ERI,199011,18,1,-10.0,2.75229357798165
ERI,199011,19,7,-10.0,4.9691850148448387
ERI,199012,03,2,4.0,8.52713178294574
ERI,199012,04,10,4.8100000000000005,7.06748286805758
ERI,199012,05,2,3.5,7.14285714285714
ERI,199012,09,1,-2.0,8.52713178294574
ERI,199012,17,1,-5.0,4.39024390243902
ERI,199012,19,9,-10.0,4.9613271657612525
ERI,199101,02,1,4.0,7.40740740740741
ERI,199101,04,13,2.9153846153846148,4.1758662539247853
ERI,199101,05,2,8.0,10.7142857142857
ERI,199101,07,3,7.4000000000000012,5.6875148366916628
ERI,199101,08,5,5.8,2.0210796720939888
ERI,199101,10,2,-5.0,7.4792243767313
ERI,199101,17,1,-5.0,2.77777777777778
ERI,199101,18,1,-10.0,1.69491525423729
ERI,199101,19,4,-10.0,2.6152482269503574
ERI,199102,01,2,-0.2,5.69259962049336
ERI,199102,02,2,3.0,5.69259962049336
ERI,199102,03,3,4.0,5.69259962049336
ERI,199102,04,4,7.0,5.2549386029248755
ERI,199102,05,1,3.4,5.26315789473684
ERI,199102,11,1,-2.0,5.69259962049336
ERI,199102,16,1,-7.0,4.203013481364
ERI,199102,19,1,-10.0,1.78571428571429
ERI,199103,02,1,3.0,5.83244962884411
ERI,199103,04,5,6.16,3.4983795970128257
ERI,199103,08,2,5.0,4.34782608695652
ERI,199103,10,3,-5.0,2.5974025974026
ERI,199103,17,2,-5.0,4.32330827067669
ERI,199103,19,13,-9.9230769230769234,3.6721965691053606
ERI,199104,02,2,3.0,7.04225352112676
ERI,199104,03,7,4.0,5.5730515782942058
ERI,199104,04,16,3.025,3.6512392406355265
ERI,199104,06,2,6.0,4.11985018726592
ERI,199104,07,4,7.4,5.01174628034456
ERI,199104,08,6,5.666666666666667,4.2919917653562818
ERI,199104,09,1,-2.0,4.22077922077922
ERI,199104,10,3,-5.0,4.5623568455417569
ERI,199104,11,1,-2.0,2.66666666666667
ERI,199104,12,2,-4.0,4.11985018726592
ERI,199104,17,4,-5.0,3.50877192982456
ERI,199104,19,10,-10.0,5.307658985159061
ERI,199105,01,39,0.071794871794871776,5.8332075889343429
ERI,199105,02,8,3.0,5.7305736605021371
ERI,199105,03,40,4.425,6.0701858859149924
ERI,199105,04,46,4.3434782608695652,5.2055809691417139
ERI,199105,05,6,3.4166666666666665,7.7125123357521863
ERI,199105,06,7,7.0,6.02354468710315
ERI,199105,07,3,7.0,8.1730679660652328
ERI,199105,08,9,5.8888888888888893,4.4841630498789851
ERI,199105,09,2,-2.0,5.19905606090202
ERI,199105,10,26,-5.0,4.7589845283508172
ERI,199105,11,4,-2.0,5.0617500445589219
ERI,199105,12,6,-4.0,6.0517893983722759
ERI,199105,13,7,-5.8857142857142852,4.5905240924879234
ERI,199105,14,7,-6.5,3.8465900483397832
ERI,199105,15,3,-7.2,5.47132498352011
ERI,199105,17,12,-5.0,4.5160745933442623
ERI,199105,18,4,-9.0,7.35618201371626
ERI,199105,19,53,-9.89622641509434,5.1226382507316472
ERI,199106,01,21,0.038095238095238106,5.36226466438991
ERI,199106,02,11,3.1818181818181817,5.2639224863568126
ERI,199106,03,7,4.0,5.4015731466299277
ERI,199106,04,30,2.9299999999999997,4.8839129661598175
ERI,199106,05,8,4.5,5.9121259991938171
ERI,199106,07,1,7.4,3.27380952380952
ERI,199106,08,4,7.0,4.3367463493978118
ERI,199106,10,4,-5.0,2.6868408346335375
ERI,199106,11,6,-2.0,4.94654935228706
ERI,199106,12,17,-4.0,5.0519631934038056
ERI,199106,14,2,-6.5,4.89130434782609
ERI,199106,16,4,-4.0,5.2305599448278
ERI,199106,17,1,-5.0,2.40963855421687
ERI,199106,19,6,-9.8333333333333339,4.0848324362643025
ERI,199107,01,10,-0.16,5.10624368972388
ERI,199107,02,5,3.0,6.2612138713907379
ERI,199107,03,9,4.2666666666666675,5.4091368347641327
ERI,199107,04,31,3.4387096774193546,4.4190120108462612
ERI,199107,05,12,4.0166666666666666,4.8536614887509266
ERI,199107,06,3,6.0,7.104417347565561
ERI,199107,07,2,7.65,3.7291534283506502
ERI,199107,08,3,5.0,4.5500499050194829
ERI,199107,10,2,-5.0,6.60980810234542
ERI,199107,11,2,-2.0,7.5644654088050345
ERI,199107,12,5,-4.0,3.0668190136462039
ERI,199107,13,1,-4.4,4.93630573248408
ERI,199107,16,3,-4.0,7.9414111055453525
ERI,199107,17,1,-5.0,4.9079754601227
ERI,199107,19,2,-10.0,4.7726293590990245
ERI,199108,01,6,0.39999999999999997,3.0954288766788767
ERI,199108,02,1,3.0,6.16591928251121
ERI,199108,03,2,4.5,5.3171466214944445
ERI,199108,04,28,2.7892857142857141,4.693903348462797
ERI,199108,05,5,3.9599999999999995,8.1792994218508053
ERI,199108,08,12,6.166666666666667,4.272866616096791
ERI,199108,10,1,-5.0,6.89265536723164
ERI,199108,11,2,-2.0,5.98958333333333
ERI,199108,16,2,-4.0,6.89265536723164
ERI,199108,17,2,-5.0,6.6497624269005851
ERI,199108,19,2,-10.0,6.89265536723164
ERI,199109,01,5,0.0,9.7148685970534441
ERI,199109,03,3,7.0,2.0270270270270272
ERI,199109,04,16,4.9375,5.322218276296919
ERI,199109,05,5,4.9,7.5681358129468332
ERI,199109,07,1,7.4,6.6147859922179
ERI,199109,08,19,7.0,3.3844058152711143
ERI,199109,09,2,-2.0,4.0
ERI,199109,10,1,-5.0,6.86792452830189
ERI,199109,17,2,-5.0,11.8618618618619
ERI,199110,01,3,-0.13333333333333333,7.7639296187683264
ERI,199110,02,2,3.5,4.99508720216163
ERI,199110,03,4,4.0,2.277359326539655
ERI,199110,04,18,2.6666666666666661,2.6772133129608862
ERI,199110,07,1,7.0,6.71140939597315
ERI,199110,08,1,7.0,5.93220338983051
ERI,199110,09,2,-2.0,3.24324324324324
ERI,199110,11,2,-2.0,9.27556818181818
ERI,199111,01,1,0.0,9.09090909090909
ERI,199111,02,3,3.1333333333333333,6.61232885702701
ERI,199111,03,18,4.0555555555555554,6.17662535984939
ERI,199111,04,15,4.46,1.9695029742633225
ERI,199111,05,6,7.2333333333333334,6.5493476607344148
ERI,199111,07,1,7.0,6.12244897959184
ERI,199111,08,1,5.0,4.54545454545455
ERI,199111,10,2,-5.0,6.12244897959184
ERI,199111,11,2,-2.0,6.15400799495056
ERI,199111,12,1,-4.0,4.31187241582989
ERI,199111,17,3,-5.0,4.69897209985316
ERI,199112,02,2,3.0,12.2699386503067
ERI,199112,04,31,4.290322580645161,5.1713651111502319
ERI,199112,05,4,3.425,4.44444444444444
ERI,199112,07,3,7.2666666666666666,5.34784118532236
ERI,199112,08,3,6.333333333333333,5.9812977534496525
ERI,199201,01,4,0.30000000000000004,7.4511594663278249
ERI,199201,03,9,4.0,4.5259380891564831
ERI,199201,04,36,2.5222222222222217,6.0006465059828535
ERI,199201,05,5,5.3,4.8592524929588219
ERI,199201,07,6,7.1333333333333329,9.1370762562725663
ERI,199201,08,1,5.0,4.73876063183475
ERI,199201,19,2,-10.0,5.91715976331361
ERI,199202,03,5,5.2,5.6169548790575856
ERI,199202,04,14,1.8357142857142859,4.3144714871083547
ERI,199202,06,2,6.4,6.25
ERI,199202,07,4,7.8500000000000005,3.6061455335050252
ERI,199202,19,4,-9.75,5.7564702160748151
ERI,199203,01,2,0.0,6.94529809465274
ERI,199203,03,2,4.0,2.91970802919708
ERI,199203,04,24,3.25,4.3860564138463234
ERI,199203,05,1,3.4,2.02898550724638
ERI,199203,08,7,7.2857142857142856,5.25761021144013
ERI,199203,11,1,-2.0,6.94529809465274
ERI,199203,13,2,-4.4,6.94529809465274
ERI,199203,19,1,-10.0,5.92948717948718
ERI,199204,01,5,0.0,5.1233467338150236
ERI,199204,03,14,4.9285714285714288,5.5182406366714076
ERI,199204,04,8,2.1999999999999997,6.6822989094478391
ERI,199204,05,2,3.5,11.1111111111111
ERI,199204,06,1,6.0,5.15463917525773
ERI,199204,08,2,7.0,6.62650602409639
ERI,199204,10,2,-5.0,3.58620689655172
ERI,199204,17,1,-5.0,4.76190476190476
ERI,199204,19,2,-10.0,2.857142857142855
ERI,199205,01,3,-0.26666666666666666,6.4823443129856742
ERI,199205,02,5,3.16,4.76370222095129
ERI,199205,03,2,4.0,7.58366533864542
ERI,199205,04,18,3.0166666666666666,7.2359097835308779
ERI,199205,05,3,6.5,6.4603886397608363
ERI,199205,08,2,7.0,8.15047021943574
ERI,199205,14,1,-7.5,3.96039603960396
ERI,199205,16,1,-4.0,5.38116591928251
ERI,199205,18,1,-9.0,5.20446096654275
ERI,199206,01,6,0.0,4.7659097280627973
ERI,199206,02,8,3.0999999999999996,5.5710985099837131
ERI,199206,03,3,5.2,3.6781609195402303
ERI,199206,04,16,2.2562499999999996,4.683488798837832
ERI,199206,08,2,7.0,4.13793103448276
ERI,199206,11,3,-2.0,8.77862595419847
ERI,199206,12,7,-4.0,7.9332797363666012
ERI,199207,01,2,0.0,8.42105263157895
ERI,199207,04,8,2.0125,7.1235941454898146
ERI,199207,06,3,6.2666666666666666,6.8578161822466628
ERI,199207,08,5,7.4,1.5888373580681265
ERI,199207,11,1,-2.0,8.42105263157895
ERI,199207,12,2,-4.5,9.320015366884375
ERI,199208,01,3,-0.13333333333333333,3.94088669950739
ERI,199208,02,1,3.0,5.61797752808989
ERI,199208,03,6,4.0,6.3689724979718685
ERI,199208,04,15,3.3800000000000003,4.4215694910457772
ERI,199208,08,3,7.666666666666667,4.73794549266247
ERI,199209,01,1,0.0,9.93091537132988
ERI,199209,02,2,3.0,5.57377049180328
ERI,199209,03,1,4.0,9.93091537132988
ERI,199209,04,5,2.74,3.8530794359015239
ERI,199209,05,3,3.4,9.09090909090909
ERI,199209,07,1,7.0,9.09090909090909
ERI,199209,08,3,7.0,5.62511993859144
ERI,199210,01,1,0.0,7.4235807860262
ERI,199210,02,4,3.0,6.0409934861773529
ERI,199210,04,14,2.5,2.9020693386507075
ERI,199211,01,1,0.0,3.6144578313253
ERI,199211,04,13,4.9692307692307685,0.841385049234897
ERI,199211,09,1,-2.0,3.33333333333333
ERI,199211,10,1,-5.0,8.15899581589958
ERI,199211,16,2,-4.0,3.33333333333333
ERI,199212,02,3,3.0,2.0947176684881565
ERI,199212,03,7,4.0,2.2803487592219986
ERI,199212,04,13,3.9538461538461545,4.7821707040087329
ERI,199212,07,2,7.0,1.2987012987013
ERI,199212,10,2,-5.0,5.51378446115288
ERI,199212,12,2,-4.0,5.51378446115288
ERI,199301,01,6,-0.13333333333333333,6.2541907188113788
ERI,199301,02,1,3.0,3.07692307692308
ERI,199301,03,6,4.0,6.056477969691243
