ActorCountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
AZE,12,2324,-4.2121342512908777,2.7970141343420614
AZE,13,838,-5.0403341288782828,2.3772788308901758
AZE,14,816,-6.5674019607843137,2.5802156573945427
AZE,15,454,-7.2000000000000011,2.6823605106651316
AZE,16,1156,-4.9692041522491364,1.9862504125854503
AZE,17,3328,-5.24375,1.4728612601803996
AZE,18,663,-9.2556561085972859,1.1573220080575972
AZE,19,8836,-9.9427908555907649,1.0000132244382076
AZE,20,233,-10.0,1.5758041000696956
BLR,01,17225,0.040470246736992933,2.524666202779986
BLR,02,9014,2.9907588196139345,2.2425702787907182
BLR,03,24628,4.2745371121912576,2.2908553759631372
BLR,04,56518,2.8603365299335719,2.647377125229478
BLR,05,24926,5.9917997272460717,3.3308455944455266
BLR,06,6211,6.4942199323933814,2.3457691950219113
BLR,07,2780,7.4490647487503123,3.038994068329484
BLR,08,4680,7.2997863247863251,0.61024730924956772
BLR,09,1589,-2.0,1.4216448640779356
BLR,10,2413,-4.9979278905926234,1.9349691151768897
BLR,11,6336,-2.0,1.9649854881093265
BLR,12,4848,-4.2570132013201318,0.76219717583134283
BLR,13,1522,-4.8512483574244438,1.534007291274164
BLR,14,1322,-6.5113464447806351,1.7240002624104414
BLR,15,2411,-7.1999999999999931,-0.70431196484825442
BLR,16,2984,-5.609249329758712,2.3563772301330532
BLR,17,5052,-5.2904988123515446,0.78976816170577957
BLR,18,463,-9.36609071274298,-0.61682949361146922
BLR,19,3251,-9.8991079667794519,-0.24640104583771322
BLR,20,16,-10.0,4.2366236924200793
BLZ,01,324,-0.0074074074074074016,5.5302636702238637
BLZ,02,187,3.0663101604278076,5.83959834777884
BLZ,03,563,4.1101243339253992,5.4857837786822783
BLZ,04,1970,2.8267005076142127,5.425032449737639
BLZ,05,291,4.97766323024055,5.6715252198072328
BLZ,06,44,6.5681818181818183,3.8990490642633033
BLZ,07,37,7.4864864864864877,3.9931205870957784
BLZ,08,67,6.4626865671641793,5.2701113555692531
BLZ,09,32,-2.0,4.6606199520885969
BLZ,10,27,-5.0,5.472328734266414
BLZ,11,145,-2.0,4.5334952046021346
BLZ,12,81,-4.1604938271604937,5.6330512967947888
BLZ,13,32,-4.8937500000000007,4.7539383591813547
BLZ,14,25,-6.62,5.2558433075886715
BLZ,15,32,-7.1999999999999966,3.4805130110441156
BLZ,16,27,-6.0370370370370372,5.5495308456586825
BLZ,17,52,-5.2423076923076914,3.7445157961749604
BLZ,18,17,-9.4705882352941178,3.963131226434955
BLZ,19,57,-9.9561403508771935,3.5093348551566232
BRN,01,651,-0.0067588325652841817,2.7730672848278664
BRN,02,289,3.03840830449827,3.00636051170541
BRN,03,1298,4.1204930662557775,4.2960207255169607
BRN,04,3860,2.5576943005181358,4.2000492233364337
BRN,05,573,5.1282722513089007,5.1371004569160492
BRN,06,357,7.0095238095238113,0.71682406376063479
BRN,07,126,7.4857142857142867,4.4786669144044531
BRN,08,89,6.4269662921348312,1.0455533827890233
BRN,09,53,-2.0,2.4470073429197639
BRN,10,47,-5.0,2.6116468296769151
BRN,11,206,-2.0,1.0751147770118323
BRN,12,85,-4.2823529411764705,2.3287402499150791
BRN,13,59,-5.1050847457627135,0.2458092754889335
