ActorCountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
IRQ,01,393840,0.0071346231993070436,2.322468811056837
IRQ,02,193197,2.8591587861179053,2.9022971429691271
IRQ,03,222860,4.3778511172283068,3.107616590331054
IRQ,04,891395,2.62912805205697,2.67843551155997
IRQ,05,276901,4.04495650085063,3.1118654445241978
IRQ,06,103866,6.3211695839438811,1.9248187336260085
IRQ,07,138801,7.7126382378140619,2.3357440882077043
IRQ,08,196403,7.7013182079703464,2.4190364620843536
IRQ,09,50125,-2.0,3.1510672594201048
IRQ,10,57593,-4.990016147795739,1.7444099007989888
IRQ,11,216340,-2.0,2.0631055900223396
IRQ,12,75144,-4.1597652038493793,2.951538217032152
IRQ,13,84842,-5.366419933661783,1.8658228559418368
IRQ,14,30799,-6.6154907626871005,1.8756452627393598
IRQ,15,42901,-7.1999999995020856,2.0002020325959062
IRQ,16,38375,-5.2423687296416945,2.508352052037309
IRQ,17,126254,-5.3849287943231383,1.0466025336411009
IRQ,18,121216,-9.5394502375923977,1.0397070261382853
IRQ,19,554731,-9.9433500200998317,0.67037380784571288
IRQ,20,2916,-9.9682784636488346,0.40340919435267752
ITA,01,202511,0.048435393644064025,1.9575145703272021
ITA,02,94820,2.9830109681736925,2.138399393060022
ITA,03,168026,4.1553664313175069,2.8149157958205189
ITA,04,729588,2.5700988776418119,2.430846110170692
ITA,05,152480,4.77731636956571,3.2387271507117923
ITA,06,51442,6.3010069594904881,2.3648218880153058
ITA,07,46198,7.2935278584582672,1.8331228729090094
ITA,08,59157,6.4259343780110552,2.0122638699284248
ITA,09,25207,-2.0,0.91590379985289572
ITA,10,18129,-4.9947583314941513,2.0035440598961407
ITA,11,89693,-2.0,1.4944665449920544
ITA,12,31105,-4.1591303788512253,1.7754748351242668
ITA,13,17142,-5.0658266248592785,1.3089680378105397
ITA,14,17968,-6.5806433659839714,1.6121024368812447
ITA,15,3555,-7.1999999989806014,1.4667672845266777
ITA,16,12226,-4.9048584982823424,1.4390741253426556
ITA,17,97941,-5.2219458653542921,0.498195426021368
ITA,18,25120,-9.26749601910828,0.73224576805139707
ITA,19,90356,-9.965060427641772,0.6214932030557998
ITA,20,471,-9.9596602972399157,1.4507826760090696
KEN,01,129566,0.0088919932758197255,1.8750697934069818
KEN,02,69439,2.9263540661835079,2.2688942327128072
KEN,03,88961,4.197565225176743,2.6304069206148757
KEN,04,379193,2.59121423648013,2.3616829057394355
KEN,05,84425,4.6284477348079376,3.2240669947126186
KEN,06,28267,6.2443980615055583,2.5052224204148308
KEN,07,30808,7.3243573100744586,2.539572576320702
KEN,08,38760,6.38624871001032,1.3423966659796986
KEN,09,15933,-2.0,0.9512101568394804
KEN,10,19513,-4.9887219972317629,1.68066483545787
KEN,11,82007,-2.0,0.79419665587077293
KEN,12,19587,-4.1698238447791676,1.5721876316681314
KEN,13,21559,-5.1345702492785374,0.91224791670521088
KEN,14,9103,-6.625563001208393,0.21992112860250224
KEN,15,4143,-7.1999999995396182,0.98292396852259079
KEN,16,9347,-4.9236760457900912,1.4763436583545817
KEN,17,53549,-5.2829259183035546,0.16011744531780342
