ActorGeo_CountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
IR,13,59703,-5.3138167262890192,1.9662214618088831
IR,14,13505,-6.5744909292854494,1.5523048275684936
IR,15,6253,-7.1999999994509425,1.4891536908970444
IR,16,64741,-6.0363587216652892,1.5949680849704531
IR,17,72026,-5.2650876072052686,0.6561233153409276
IR,18,24737,-9.4005942515260532,1.2066964338826784
IR,19,99350,-9.96842476094615,0.5915349520664922
IR,20,704,-9.9538352272727266,1.2862399428193723
IT,01,92160,0.044587673615056271,1.8673523655524822
IT,02,45377,3.0011944377288629,1.9675608788310956
IT,03,73598,4.1619242369809539,2.8272436077969925
IT,04,321251,2.6267205392993067,2.4456647572095154
IT,05,70309,4.799139512921152,3.2518181980198158
IT,06,19692,6.3107150114335635,2.2264917137416012
IT,07,27517,7.3013228188499584,1.436418822500986
IT,08,25370,6.4900670082774932,2.1592833732538832
IT,09,11239,-2.0,1.1226590452862542
IT,10,8339,-4.9916047013672342,2.0670021553916009
IT,11,38211,-2.0,1.5661456835403289
IT,12,15300,-4.15402719665272,1.9095402380309539
IT,13,7871,-5.1104306952954275,0.96527138064894624
IT,14,4588,-6.6168265039232779,1.8891875010592691
IT,15,1884,-7.199999998886371,1.5495011926821036
IT,16,5974,-5.0231335788097153,1.6087503278899817
IT,17,38361,-5.2125231354661912,0.63189137073952062
IT,18,12372,-9.24777723892661,0.71617286735985686
IT,19,39454,-9.9632863587975873,0.68685756693712463
IT,20,307,-9.9706840390879474,2.0765129742900443
IZ,01,194237,0.02453703465628054,2.78288393867079
IZ,02,100822,2.8716867350474522,3.1721443450940514
IZ,03,104652,4.3810868401394858,3.564955255040489
IZ,04,404322,2.722164265079511,3.0861215193243
IZ,05,129572,4.0455931838406363,3.5202423664943767
IZ,06,42378,6.2991033083451118,2.4153543445715635
IZ,07,74015,7.6317949066415061,2.5850325927867654
IZ,08,82733,7.85107514534708,2.8569075889906803
IZ,09,23553,-2.0,3.3017603326206353
IZ,10,23068,-4.9869949713889374,3.1405075119423063
IZ,11,107957,-2.0,2.3800275725105045
IZ,12,38136,-4.1710208792361767,3.2917345163158176
IZ,13,37640,-5.457417640962209,2.5706571310699982
IZ,14,11626,-6.6065714777223468,2.4201964825533659
IZ,15,18322,-7.1999999997397568,2.7017182178498538
IZ,16,18315,-5.1460442260390176,2.9681490920391167
IZ,17,55542,-5.296532353894353,1.1995179095769293
IZ,18,30838,-9.3766781243919848,1.5843911977967011
IZ,19,185771,-9.9676914050093934,1.4480762419013467
IZ,20,1159,-9.9408973252804138,0.721777715374869
KE,01,41060,0.064819775945164512,1.7928036556574112
KE,02,20670,2.9624915336403337,2.3176296494123836
KE,03,29803,4.2190383518373737,2.5667878649656219
KE,04,130419,2.6231737706060931,2.4586951748096411
KE,05,28766,4.776906765070053,3.1926373266395172
KE,06,9898,6.2754091737149462,2.4442599777364062
KE,07,14721,7.32210447676649,3.0316683889018519
KE,08,12800,6.640390625,1.4698510491005008
KE,09,4686,-2.0,1.4995052472316994
KE,10,4889,-4.9836300388786574,1.1387317877775383
KE,11,21189,-2.0,0.88997354246793114
KE,12,5632,-4.1719055229976911,1.5387582006875662
KE,13,6724,-5.2736763833605913,0.969864951013778
KE,14,1913,-6.5920020909566128,0.784138890783846
KE,15,1350,-7.1999999998587159,0.88633815804472038
KE,16,2999,-4.988262754251422,1.6038572846026382
KE,17,14669,-5.2193605562621359,0.66148957021084687
KE,18,6397,-9.2709082382366734,0.24025285187093831
KE,19,31592,-9.9574101038237526,-0.44189046664404447
KE,20,376,-9.94813829787234,-2.2928352453437113
