ActorGeo_CountryCode,MonthYear,EventRootCode,EventCount,AvgGoldScore,AvgTone
ER,199412,05,3,4.9333333333333336,8.71634404243099
ER,199412,16,2,-7.0,6.1616910393782156
ER,199412,19,1,-10.0,4.8780487804878
ER,200702,03,1,4.0,5.77659574468085
ER,200702,04,10,2.66,6.501017291360407
ER,200704,01,1,-0.4,8.56164383561644
ER,200704,04,14,4.7142857142857144,5.2693114423898972
ER,200704,07,2,8.5,8.66141732283465
ER,200705,01,3,0.0,6.3492063492063506
ER,200705,02,1,3.0,6.69240669240669
ER,200705,04,2,7.0,7.5385154061624648
ER,200705,05,3,3.5,6.3492063492063506
ER,200705,19,3,-9.5,0.0
ER,200706,04,4,7.0,7.7051610295108492
ER,200706,09,1,-2.0,5.13623898239283
ER,200706,11,1,-2.0,5.63380281690141
ER,200706,17,1,-5.0,4.39024390243902
ER,200707,02,1,4.0,5.89970501474926
ER,200707,05,7,4.1428571428571432,7.6747394739756709
ER,200707,07,1,7.0,4.98220640569395
ER,200708,01,2,0.2,4.70208605205314
ER,200708,05,1,3.5,6.57276995305164
ER,200708,06,1,7.4,6.05633802816901
ER,200710,01,1,0.4,4.81283422459893
ER,200710,03,1,4.0,10.2150537634409
ER,200710,04,3,1.0,5.0326521737589731
ER,200710,08,1,10.0,5.59440559440559
ER,200711,04,1,7.0,7.69230769230769
ER,200711,11,1,-2.0,7.98969072164948
ER,200712,03,1,4.0,7.75347912524851
ER,200712,04,4,1.0,5.45159043417692
ER,200801,01,1,-0.4,8.03738317757009
ER,200801,04,7,2.6714285714285708,3.79273504273504
ER,200802,02,1,4.0,5.62770562770563
ER,200802,04,7,2.2857142857142856,7.8267467755011255
ER,200802,19,2,-10.0,0.0
ER,200803,02,2,3.0,11.4035087719298
ER,200803,04,7,7.0,1.4879279455231287
ER,200803,17,1,-5.0,0.619195046439629
ER,200803,19,2,-9.75,4.15188708648095
ER,200805,19,3,-10.0,3.2831667534315971
ER,200806,02,3,-0.3,4.93941585626571
ER,200806,04,1,1.0,4.05405405405405
ER,200806,07,2,8.3,7.78380817437066
ER,200807,08,1,5.0,3.46320346320346
ER,200807,11,1,-2.0,3.28947368421053
ER,200808,03,1,4.0,3.63636363636364
ER,200808,04,1,7.0,6.10687022900763
ER,200808,05,2,3.5,6.3035995566186349
ER,200809,03,1,4.0,6.46672914714152
ER,200809,05,1,3.5,8.80681818181818
ER,200809,19,3,-9.5,1.151593880160009
ER,200810,04,1,1.9,10.4089219330855
ER,200811,03,1,4.0,8.76524390243902
ER,200811,04,1,1.0,8.76524390243902
ER,200812,02,2,3.0,9.09090909090909
ER,200812,06,1,6.0,6.957928802589
ER,200812,11,1,-2.0,6.957928802589
ER,200901,04,3,2.5,3.8149693432510965
ER,200901,19,1,-9.5,0.526315789473684
ER,200902,05,1,3.4,16.6666666666667
ER,200903,01,5,0.08,5.2173002408493918
ER,200903,02,1,3.2,5.88235294117647
ER,200903,03,8,4.0,3.0382464453134821
ER,200903,04,32,2.1843749999999997,4.7681281503772066
ER,200903,08,2,7.0,3.1299670053821798
ER,200903,09,1,-2.0,5.88235294117647
ER,200903,11,2,-2.0,4.3255813953488351
ER,200903,17,5,-5.0,4.3178551159983183
ER,200903,19,2,-10.0,2.126506840037925
ER,200904,01,1,0.4,3.72340425531915
ER,200904,04,13,2.1076923076923078,3.460530979269242
ER,200905,13,2,-4.4,5.77687836269183
ER,200905,19,1,-10.0,5.76247364722417
ER,200906,04,1,1.0,7.11297071129707
ER,200906,05,1,3.4,7.11297071129707
ER,200907,19,1,-9.5,2.9874213836478
ER,200908,01,1,0.0,4.49775112443778
ER,200908,03,2,4.0,5.46728658817244
ER,200910,02,1,3.4,5.69715142428786
ER,200910,05,13,8.0,6.0777535857780958
ER,200910,10,10,-5.0,6.0311849920460858
ER,200911,04,1,1.9,2.29007633587786
ER,200911,17,1,-5.0,4.24430641821946
ER,201001,04,1,1.0,6.94214876033058
ER,201002,01,2,-0.8,8.97021700363603
ER,201002,05,3,3.4,6.0256571692404
ER,201002,14,2,-6.5,5.20965692503177
ER,201003,02,1,3.0,10.6521739130435
ER,201003,03,1,4.0,6.83156654888104
ER,201004,04,2,1.9,6.30914826498423
ER,201006,11,1,-2.0,5.79348764022131
ER,201007,04,1,1.0,4.15647921760391
ER,201008,01,1,0.0,3.45268542199488
ER,201008,04,3,3.6,7.9671388293105068
ER,201010,01,2,-0.8,6.2333065523016549
ER,201011,02,1,3.0,8.09589310277068
ER,201011,04,2,1.9,5.3948397185301
ER,201012,01,1,0.0,7.58928571428571
ER,201012,02,1,3.0,7.84536668561683
ER,201012,04,4,5.725,5.0006617119641508
ER,201012,19,1,-9.5,3.47222222222222
ER,201101,03,2,4.0,5.64790286975717
ER,201101,10,1,-5.0,8.12182741116751
ER,201101,14,1,-6.5,2.67229254571027
ER,201101,16,1,-4.0,5.64790286975717
ER,201102,04,2,1.0,5.6047197640118
ER,201102,11,2,-2.0,5.26307758758298
ER,201105,04,4,2.8,4.6475421675993953
ER,201105,19,1,-10.0,3.32640332640333
ER,201106,04,2,4.9,3.09801536186251
ER,201107,01,1,0.0,6.60146699266504
ER,201107,04,6,1.8999999999999997,12.9102616755398
ER,201108,05,1,6.0,7.1067821067821
ER,201108,12,3,-4.0,3.8912914847874203
ER,201109,04,2,1.75,6.8802521008403348
ER,201109,08,1,7.0,5.15463917525773
ER,201109,13,6,-4.4,5.7127975283959707
ER,201109,19,1,-10.0,2.21729490022173
ER,201110,04,4,4.45,2.95785308157069
ER,201110,05,3,3.4666666666666668,10.315116003359725
ER,201111,03,1,4.0,9.38337801608579
ER,201111,04,1,1.9,3.70375540974452
ER,201111,05,2,3.4,9.3391389100771249
ER,201111,14,1,-6.5,7.1753986332574
ER,201111,16,1,-7.0,5.15222482435597
ER,201112,01,1,0.0,4.31472081218274
ER,201112,04,1,1.9,4.31472081218274
ER,201201,02,1,-0.3,3.55029585798817
ER,201201,04,1,1.9,2.48688199066588
ER,201201,08,2,7.0,5.69105691056911
ER,201202,04,3,1.8999999999999997,4.17021276595745
ER,201202,08,1,5.0,4.57746478873239
ER,201202,17,1,-5.0,4.30839002267574
ER,201203,01,1,-0.1,2.70793036750484
ER,201203,07,1,8.5,3.39366515837104
ER,201204,01,2,0.0,2.89296046287367
ER,201204,03,1,4.0,9.35779816513761
ER,201205,01,1,0.0,4.84668644906034
ER,201205,02,1,3.0,2.7027027027027
ER,201205,04,2,1.9,8.05987334484744
ER,201205,11,1,-2.0,10.3260869565217
ER,201205,14,1,-7.5,4.47400241837969
ER,201205,17,1,-5.0,2.0
ER,201205,18,2,-9.0,2.0
ER,201206,01,2,-0.2,4.7758771815633505
ER,201206,03,1,4.0,4.30733410942957
ER,201206,04,2,1.9,3.2351291368924198
ER,201206,11,1,-2.0,4.68986384266263
ER,201206,17,1,-5.0,3.27380952380952
ER,201207,06,1,6.0,4.30555555555556
ER,201207,08,2,5.0,3.97830018083183
ER,201207,09,1,-2.0,4.36363636363636
ER,201207,17,3,-5.0,5.3023758228450664
ER,201207,19,1,-9.5,3.46878097125867
ER,201208,01,4,-0.4,5.3634683165323276
ER,201208,02,2,3.0,6.44391408114559
ER,201209,02,2,3.0,7.09342560553633
ER,201209,04,3,3.6,6.7490636960009667
ER,201209,12,1,-4.0,5.86766541822722
ER,201210,01,1,0.0,7.17079530638853
ER,201210,11,6,-2.0,5.9863160234918569
ER,201211,05,1,3.5,2.03562340966921
ET,197905,05,1,3.4,5.31177829099307
ET,197906,04,1,1.0,7.14285714285714
ET,197907,01,1,-0.4,7.4235807860262
ET,197908,02,1,3.0,8.15822002472188
ET,197908,04,1,7.0,8.15822002472188
ET,198002,02,1,-0.3,13.5922330097087
ET,198003,05,1,3.4,5.07364975450082
ET,198505,01,2,0.0,5.65508211652862
ET,198601,04,1,1.9,5.98503740648379
ET,198605,01,1,0.0,10.5263157894737
ET,198605,04,2,7.0,3.44827586206897
ET,198607,01,1,0.0,4.42655935613682
ET,198607,04,4,1.9,0.709219858156028
ET,198607,17,1,-5.0,3.43511450381679
ET,198608,01,1,0.0,5.60344827586207
ET,198609,17,1,-5.0,3.16455696202532
ET,198701,01,1,-2.0,3.00429184549356
ET,198701,02,2,3.0,6.03015075376884
ET,198701,04,1,7.0,3.00429184549356
ET,198702,01,1,0.0,0.552486187845304
ET,198702,03,4,4.0,5.639838256500215
ET,198702,04,4,3.175,3.7237469233917606
ET,198702,11,1,-2.0,1.50602409638554
ET,198702,19,5,-10.0,2.3684210526315761
ET,198703,01,2,0.0,7.73955773955774
ET,198703,02,1,3.0,3.75
ET,198703,03,2,4.0,14.5
ET,198703,04,1,7.0,2.85132382892057
ET,198703,08,1,5.0,2.10842634613026
ET,198703,11,1,-2.0,8.84615384615385
ET,198703,12,1,-4.0,3.75
ET,198703,16,1,-4.0,2.87539936102236
ET,198703,19,2,-10.0,3.57142857142857
ET,198704,01,1,0.4,8.52090032154341
ET,198704,02,3,3.0,4.8476340485096037
ET,198704,03,1,4.0,3.3175355450237
ET,198704,04,6,5.0,4.6293354949912215
ET,198704,05,2,3.45,7.1101910934141905
ET,198704,08,3,7.0,2.7700011380448384
ET,198704,09,1,-2.0,5.9748427672956
ET,198704,11,2,-2.0,3.61189277251185
ET,198704,16,1,-7.0,3.90625
ET,198704,19,4,-10.0,2.8544117647058798
ET,198705,03,1,4.0,1.78571428571429
ET,198705,16,2,-4.0,5.68720379146919
ET,198706,16,1,-4.0,0.775193798449612
ET,198707,04,4,1.6749999999999998,3.4382284382284345
ET,198707,05,2,3.4,5.47337278106509
ET,198708,01,1,0.0,5.67986230636833
ET,198708,04,1,2.8,5.14285714285714
ET,198708,15,1,-7.2,10.0169779286927
ET,198709,01,1,0.0,4.37158469945355
ET,198709,05,3,6.4666666666666659,2.9402857330963168
ET,198710,01,2,0.0,11.1657648794884
ET,198710,04,1,1.0,5.53359683794466
ET,198710,12,1,-4.0,11.1657648794884
ET,198711,01,1,0.0,2.3696682464455
ET,198711,05,1,3.4,3.11926605504587
ET,198711,06,2,6.0,2.3696682464455
ET,198801,04,1,2.8,1.50943396226415
ET,198801,19,4,-10.0,2.11640211640212
ET,198802,04,1,2.8,2.66666666666667
ET,198803,01,1,0.4,4.51612903225806
ET,198803,03,7,4.0,2.4938514841308459
ET,198803,04,10,1.9,1.4754529598905561
ET,198803,11,5,-2.0,2.2607881386658977
ET,198803,16,2,-4.0,6.0
ET,198803,19,2,-10.0,6.0
ET,198804,02,2,3.0,4.4780777032298351
ET,198804,03,5,4.0,7.84790627251583
ET,198804,04,10,3.25,4.774875522647017
ET,198804,05,15,4.3866666666666667,6.7674633955132917
ET,198804,11,2,-2.0,4.45682451253482
ET,198804,15,1,-7.2,2.08333333333333
ET,198805,01,1,0.0,3.89908256880734
ET,198805,03,3,4.0,1.94300518134715
ET,198805,04,12,2.3333333333333335,2.5544988851098367
ET,198805,05,1,8.0,5.82901554404145
ET,198805,08,1,9.0,1.2987012987013
ET,198805,10,1,-5.0,9.37912813738441
ET,198805,19,1,-10.0,5.82901554404145
ET,198806,01,2,0.0,5.93466424682396
ET,198806,03,3,4.0,3.6994372474222934
ET,198806,04,3,3.0,4.7792324717710137
ET,198806,05,2,8.0,3.44827586206897
ET,198806,07,1,7.0,7.78032036613272
ET,198806,08,2,7.0,4.21686746987952
ET,198806,17,2,-5.0,7.8479689366786154
ET,198806,19,2,-10.0,2.6597220295725048
ET,198807,02,2,4.0,1.74418604651163
ET,198807,03,1,4.0,5.15759312320917
ET,198807,04,5,2.02,4.0727388917434162
ET,198807,05,4,3.4250000000000003,8.6957320635820228
ET,198807,11,2,-2.0,5.15759312320917
ET,198808,03,2,4.0,7.682459677419355
ET,198808,04,9,2.2,4.5005941571298616
ET,198808,05,2,3.5,8.58895705521472
ET,198808,08,2,8.0,3.72282524181258
ET,198808,19,1,-10.0,4.91400491400491
ET,198809,02,1,3.0,7.2289156626506
ET,198809,03,1,4.0,9.58646616541353
ET,198809,04,2,1.9,3.24400980884569
ET,198809,07,1,8.3,3.31325301204819
ET,198810,02,1,3.0,1.15384615384615
ET,198810,03,1,4.0,3.75
ET,198810,04,4,1.9,3.6050927939135224
ET,198811,03,2,4.0,1.5957446808510649
ET,198811,05,2,8.0,7.42040611682126
ET,198811,13,1,-4.4,0.671140939597315
ET,198812,01,1,0.4,8.63309352517986
ET,198812,03,4,4.0,2.70315891005546
ET,198812,04,12,2.5,2.3166711218034397
ET,198812,05,1,3.4,8.63309352517986
ET,198812,19,1,-10.0,3.91608391608392
ET,198901,02,1,3.0,8.57142857142857
ET,198901,03,3,4.0,3.42557251908397
ET,198901,04,22,3.3090909090909091,2.91723155415334
ET,198901,05,3,5.0,3.04094650688169
ET,198901,06,1,6.4,5.03597122302158
ET,198901,07,2,7.4,7.14285714285714
ET,198901,08,2,7.5,6.38109572670282
ET,198901,17,1,-5.0,5.26315789473684
ET,198902,01,2,0.0,3.14835164835165
ET,198902,02,1,3.0,0.0
ET,198902,03,3,4.0,3.10331474597274
ET,198902,04,35,2.9714285714285711,1.6815831388617941
ET,198902,05,3,6.666666666666667,4.5755693581780532
ET,198902,07,1,7.4,3.73831775700935
ET,198902,08,1,10.0,3.1434184675835
ET,198903,01,5,-0.08,3.81794840450213
ET,198903,03,4,4.6,4.45349624661821
ET,198903,04,26,2.2807692307692311,3.2934738255188867
ET,198903,05,7,6.0571428571428569,1.5617490487795673
ET,198903,06,1,6.4,0.0
ET,198903,18,1,-9.0,4.26008968609865
ET,198904,01,3,0.13333333333333333,4.44537215992222
ET,198904,02,1,-0.3,3.76811594202899
ET,198904,04,15,2.92,4.1135528694221533
